data,ug_mean,ug_max,ug_min,pollutionPM,ug_max2,
5/16/2016,24.56666667,48.9,12.5,31.3,48.9,48.9
5/17/2016,13.075,23.4,8.3,29.7,23.4,23.4
5/18/2016,43.37333333,72.7,22.7,45.4,72.7,72.7
5/19/2016,38.5875,58.2,17.3,43.1,58.2,58.2
5/20/2016,44.90833333,64.9,29.8,77.7,64.9,64.9
5/21/2016,68.14166667,83.3,51.3,67.5,83.3,83.3
5/22/2016,73.69285714,99.9,30.7,41.4,99.9,99.9
5/23/2016,58.45,76.9,32.35,33.4,76.9,76.9
5/24/2016,43.20714286,53.9,34,33.1,53.9,53.9
5/25/2016,22.5,38.9,9.1,54.4,38.9,38.9
5/26/2016,25.7125,34.6,19.4,40.4,34.6,34.6
5/27/2016,41.06666667,70.7,25.4,42.6,70.7,70.7
5/28/2016,50.825,78.1,31.6,28,78.1,78.1
5/29/2016,42.26666667,63.5,34,24.4,63.5,63.5
5/30/2016,42.525,88.7,30.1,31.2,88.7,88.7
5/31/2016,39.81666667,79.4,13.5,35.4,79.4,79.4
6/1/2016,27.34090909,41.3,17.8,26.1,41.3,41.3
6/2/2016,28.94583333,44.9,14.9,25,44.9,44.9
6/3/2016,24.64166667,42.3,17.9,35.1,42.3,42.3
6/4/2016,34.16666667,44.7,29.1,64.1,44.7,44.7
6/5/2016,27.69583333,48.2,16.1,25.6,48.2,48.2
6/6/2016,75.52083333,152.7,37,25.2,152.7,152.7
6/7/2016,22.58333333,30.5,17.3,50.2,30.5,30.5
6/8/2016,50.7375,111.7,20,48.1,111.7,111.7
6/9/2016,72.7125,94.3,46.9,37.9,94.3,94.3
6/10/2016,70.5625,95.4,45.9,35,95.4,95.4
6/11/2016,42.40416667,60,26.7,24.7,60,60
6/12/2016,39.6375,53.3,29.1,16.6,53.3,53.3
6/13/2016,44.53333333,59.2,35.4,19.4,59.2,59.2
6/14/2016,53.5125,87.4,31.9,24.2,87.4,87.4
6/15/2016,32.22916667,50,17.6,44.5,50,50
6/16/2016,27.99166667,44.3,18.3,25.1,44.3,44.3
6/17/2016,58.24166667,174.1,27.5,30.5,174.1,174.1
6/18/2016,160.625,200,71.7,39.3,200,200
6/19/2016,63.8,122.8,30.8,30.2,122.8,122.8
6/20/2016,55.36086957,81.3,25.8,25.2,81.3,81.3
6/21/2016,45.87083333,60.8,32.4,37.2,60.8,60.8
6/22/2016,45.66666667,69.8,20.9,39.8,69.8,69.8
6/23/2016,44.8125,62.8,36.2,38.1,62.8,62.8
6/24/2016,31.15416667,54.5,12.9,39.1,54.5,54.5
6/25/2016,48.875,80.1,26.7,38.5,80.1,80.1
6/26/2016,36.1625,53.6,23.6,35.4,53.6,53.6
6/27/2016,43.94166667,55.6,32.6,29.8,55.6,55.6
6/28/2016,40.7375,56.7,31.3,46.3,56.7,56.7
6/29/2016,42.39583333,54.3,29.6,47.2,54.3,54.3
6/30/2016,56.57916667,88.9,40.9,43.3,88.9,88.9
7/1/2016,53.7875,164,22.6,37.8,164,164
7/2/2016,30.375,63.9,14.1,33,63.9,63.9
7/3/2016,24.7,28.5,21.1,23.7,28.5,28.5
7/4/2016,31.28333333,45.4,15.8,26.8,45.4,45.4
7/5/2016,58.97916667,126.5,25.6,34.9,126.5,126.5
7/6/2016,91.94166667,162.7,63.8,27.4,162.7,162.7
